Artist,Song,Mood
My Dying Bride,To Remain Tombless,neg
Norah Jones,The Long Day Is Over,pos
Steve Goodman,Lincoln Park Pirates,pos
"Jett, Joan & The Blackhearts",Bad Reputation,neg
Tom Tom Club,Wordy Rappinghood,pos
Aqua,Lollipop (Candyman),pos
Edison Lighthouse,Love Grows (Where My Rosemary Goes),pos
The Byrds,Deportee,neg
Sophie Zelmani,Oh Dear,pos
Mary Coughlan,Whiskey Didn't Kill the Pain,neg
JosÃ© Padilla,Adios Ayer,pos
blink-182,What's My Age Again?,pos
London After Midnight,Your Best Nightmare,neg
Ben Harper,Diamonds On The Inside,pos
Dilated Peoples,Big Business,neg
Carl Douglas,Kung Fu Fighting,pos
Tesla Boy,Runaway Man,pos
Sade,Morning Bird,neg
The Boy Least Likely To,Rock Upon A Porch With You,pos
Kelly Sweet,Raincoat,pos
Grandaddy,The Warming Sun,neg
Katatonia,Velvet Thorns (Of Drynwhyl),neg
Fake Problems,Tabernacle Song,neg
PJ Harvey,Driving,neg
Anathema,Destiny,neg
The Innocence Mission,Small Planes,neg
Tokyo Police Club,Cheer It On,pos
"""Weird Al"" Yankovic",(This Song's Just) Six Words Long,pos
LORE,Release,neg
Katie Melua,Mockingbird Song,pos
Shuggie Otis,Aht Uh Mi Hed,pos
Mariee Sioux,Buried in Teeth,pos
Merle Haggard,High on a Hilltop,neg
Florence + The Machine,Blinding,neg
Common,Faithful,pos
James Taylor,Copperline,pos
Chris Cornell,Sweet Euphoria,pos
Fates Warning,Heal Me,neg
U2,Sweetest Thing,pos
Genesis,Mama,neg
McFly,No Worries,pos
Little Man Tate,Sexy In Latin,pos
Nine Inch Nails,Only,neg
Dark Fortress,Ghastly Indoctrination,neg
ChloÃ« Agnew,Walking In The Air,pos
The Police,Wrapped Around Your Finger,neg
Rosanne Cash,It Hasn't Happened Yet,neg
Bob Marley,Trench Town Rock,pos
Bloc Party,Banquet,pos
Tiger Lou,Like my very own blood,neg
Mickey & Sylvia,Love Is Strange,pos
The Kinks,You Really Got Me,pos
Roxette,Milk And Toast And Honey,pos
HIM,The Path,neg
John Mayer,City Love,pos
"Fender, Freddy",Before the Next Teardrop Falls,neg
Robert Johnson,Terraplane Blues,neg
The Smiths,What Difference Does It Make?,neg
Patty Griffin,Every Little Bit,neg
"Collins, Edwyn",Girl Like You,neg
"Albert Hammond, Jr.",In Transit,pos
The Maccabees,Toothpaste Kisses,pos
Tom Waits,More Than Rain,neg
Architecture in Helsinki,"Frenchy, I'm Faking",pos
Jamiroquai,Half The Man,pos
Phoenix,Rally,pos
My Dying Bride,Catherine Blake,neg
Local Natives,Who Knows Who Cares,neg
Ryan Adams,Love Is Hell,neg
Staind,Mudshovel,neg
"Kristofferson, Kris",For the Good Times,neg
Patti Smith Group,Wave,neg
Ice-T,O.G. Original Gangster,neg
Virgin Prunes,Baby Turns Blue,neg
JC Chasez,Blowin' Me Up (With Her Love),pos
Gary Numan,Rip,neg
Groove Armada,At The River,pos
Pink Turns Blue,Your Master Is Calling,neg
Stephanie Mills,Never Knew Love Like This Before,pos
of Montreal,Your Magic Is Working,pos
Steve Earle,Ashes to Ashes,neg
Three Days Grace,I Hate Everything About You,neg
Guns N' Roses,Paradise City,pos
Quiet Riot,Metal Health,pos
Muse,Butterflies And Hurricanes,neg
PJ Harvey,Joy,neg
Karl Bartos,Electronic Apeman,pos
Nine Inch Nails,All The Love In The World,neg
Metallica,Phantom Lord,neg
"Brown, Roy [1]",Good Rockin' Tonight,neg
The Velvet Underground,Heroin,neg
Jam [1],Eton Rifles,neg
Slayer,Fight Till Death,neg
Arcade Fire,Crown of Love,neg
Billy Joel,MODERN WOMAN,pos
Wu-Tang Clan,Impossible,neg
The Chemical Brothers,The Salmon Dance,pos
Ben Folds Five,Brick,neg
Pink Floyd,Take Up Thy Stethoscope and Walk,neg
"Fagen, Donald",I.G.Y.,neg
"Lee, Peggy [1]",Black Coffee,neg
The 69 Eyes,STILL WATERS RUN DEEP,neg
Fionn Regan,Put A Penny In The Slot,pos
Unbelievable Truth,Dune Sea,neg
Frankie Valli & The Four Seasons,"December, 1963 (Oh, What a Night)",pos
Siouxsie And The Banshees,Red Light,neg
Current 93,Alone,neg
"Earth, Wind & Fire",Sing A Song,pos
Woody Guthrie,Car Song,pos
Miike Snow,Animal,pos
Nine Inch Nails,March Of The Pigs,neg
Helmet,Your Head,neg
Nat King Cole,Let There Be Love,pos
Sade,In Another Time,pos
Camera Obscura,Lunar Sea,pos
Billie Jo Spears,Misty Blue,neg
Nicky Wire,Goodbye Suicide,neg
Killswitch Engage,Unbroken,neg
Billy Preston,Nothing From Nothing,pos
Tommy Roe,Dizzy,pos
Otis Redding,Try A Little Tenderness,pos
XTC,Dear God,neg
The Puppini Sisters,Jilted,pos
We Are The Fallen,"Sleep Well, My Angel",neg
Cream,Wrapping Paper,pos
Oceansize,New Pin (edit),neg
The Cat Empire,The Rhythm,pos
Floetry,Closer,pos
Sade,The Sweetest Gift,pos
MÃ¡ire Brennan,Dream On,pos
Foo Fighters,Learn to Fly,pos
Norah Jones,One Flight Down,pos
Lily Allen,Not Big,pos
The Rocket Summer,Hold It Up,pos
Counting Crows,Big Yellow Taxi,pos
The Young Fresh Fellows,Beer Money,pos
Pretty Maids,Please Don't Leave Me,neg
The Jackson 5,ABC,pos
Kelly Clarkson,Already Gone,neg
Mastodon,Deep Sea Creature,neg
Moloko,The Time Is Now (DJ Plankton Mix),pos
Jonas Brothers,S.O.S.,pos
Morcheeba,Rome Wasn't Built in a Day,pos
Remy Shand,The Way I Feel,pos
Queensryche,The Needle Lies,neg
Wolfsheim,The Sparrows and the Nightingales,neg
Bloodhound Gang,The Bad Touch,pos
Boz Scaggs,Look What You've Done To Me,pos
Faithless,"Miss U Less, See U More",pos
Alanis Morissette,Citizen of the Planet,neg
Lauryn Hill,Nothing Even Matters,pos
The Foreshadowing,Cold Waste,neg
Animal Collective,Turn Into Something,pos
Great Lake Swimmers,Bodies and Minds,pos
Budgie [Metal],Breadfan,neg
George Michael,Father Figure,pos
Jane Monheit,Honeysuckle Rose,pos
Cherish the Ladies,The Green Fields of Canada,pos
Whitney Houston,How Will I Know,pos
New York Dolls,Trash (live Paris),neg
Moody Blues,Nights in White Satin,neg
Enigma,Silence Must Be Heard,pos
Scissor Sisters,Take Your Mama,pos
Deine Lakaien,Over And Done,neg
Kylie Minogue,Love At First Sight,pos
Jeff Buckley,Mojo Pin,neg
Shakira,Underneath Your Clothes,pos
"10,000 Maniacs",More Than This,pos
Elliott Smith,No Name No. 5,neg
Pulp,Blue Glow,neg
Blonde Redhead,Messenger,neg
Morcheeba,Aqualung,pos
Kristin Hersh,Gazebo Tree,neg
Rihanna,If It's Lovin' That You Want,pos
Rage Against the Machine,Wake Up,neg
Eighteen Visions,The Sweetest Memory,neg
Cradle of Filth,The Foetus of a New Day Kicking,neg
Emma Bunton,Take Me To Another Town,pos
Basement Jaxx,Oh My Gosh,pos
Megadeth,Seven,neg
Jack Johnson,Bubble Toes,pos
OK Go,Here It Goes Again,pos
Sounds Like Violence,"Cry, Oh Cry!",neg
Damned,Neat Neat Neat,neg
Zeromancer,The Death Of Romance,neg
Fergie,Clumsy,pos
Louie Austen,One Night In Rio,pos
Will Young,Evergreen,pos
No Doubt,Underneath It All,pos
Nine Inch Nails,Sin,neg
Bright Eyes,Cleanse Song,pos
On Thorns I Lay,Gallant Nights,neg
It Dies Today,Sixth of June,neg
The Police,Walking On The Moon,pos
Sugarcult,Pretty Girl (The Way),neg
Lifehouse,Breathing,pos
Cat Stevens,Tea For The Tillerman,pos
Bury Your Dead,Closed Eyes,neg
Hoobastank,If I Were You,pos
Chiara Civello,Caramel,pos
Tenacious D,The Metal,pos
10cc,Dreadlock Holiday,pos
Gravity Kills,Goodbye,neg
The Ditty Bops,There's A Girl,pos
Rammstein,Mein Herz brennt,neg
The Simpsons,Springfield Soul Stew,pos
Lennon,No One Knows,neg
The Tear Garden,In Search of My Rose,neg
Village People,In the Navy,pos
Art Brut,Pump Up The Volume,pos
Blake Shelton,Don't Make Me,neg
Lifehouse,The Beginning,pos
Doves,The Cedar Room,pos
Orson,Ain't No Party,pos
Avril Lavigne,Forgotten,neg
BjÃ¶rk,Human Behaviour,pos
Glashaus,Was immer jetzt geschieht,neg
Low [1],Sunflower,neg
Bob Dylan,What Good Am I?,neg
Mariah Carey,Dreamlover,pos
We Are Scientists,Worth The Wait,pos
French Kicks,Where We Went Off,pos
Shelby Lynne,I'll Lie Myself to Sleep,neg
Cat Power,Not What You Want,neg
The Berzerker,Deform (live),neg
Mokoma,Perspektiivi,pos
Sly & The Family Stone,Everyday People,pos
Hird,I Love You My Hope,pos
Destiny's Child,Bad Habit,neg
Brett Anderson,Back to you,neg
Megadeth,Countdown to Extinction,neg
The Beautiful South,Everybody's Talkin',pos
The Cardigans,Give Me Your Eyes,pos
Aly & AJ,Do You Believe In Magic,pos
Janet Jackson,What About,neg
Black Eyed Peas,Gone Going,pos
Novembre,Triesteitaliana,neg
Pete Philly & Perquisite,Time Flies,pos
Simon & Garfunkel,Old Friends,neg
Dead Prez,Mind Sex,pos
Air,You Make It Easy,pos
Hanson,MMMBop,pos
The Prodigy,What Evil Lurks,neg
Suicidal Tendencies,Human Guinea Pig,neg
The Cardigans,Carnival,pos
Razed in Black,Better Off,neg
Kate Havnevik,Grace,pos
Janet Jackson,Go Deep,pos
Turin Brakes,Full Of Stars,pos
4 Non Blondes,Spaceman,pos
Architecture in Helsinki,Heart It Races,pos
Dead Kennedys,One-Way Ticket to Pluto,neg
Donavon Frankenreiter,Butterfly,pos
The Troggs,With A Girl Like You,pos
Foo Fighters,The Deepest Blues Are Black,neg
Frankie Avalon,Venus,pos
Suicidal Tendencies,It's Going Down,neg
"""Weird Al"" Yankovic",Happy Birthday,pos
Tom Lehrer,The Elements,pos
Sonic Youth,Shadow Of A Doubt,neg
Rosie Thomas,If This City Never Sleeps,pos
Spiritualized,Ladies and Gentlemen We Are Floating in Space,neg
PJ Harvey,Meet Ze Monsta,neg
Westlife,Uptown Girl,pos
Sopor Aeternus & The Ensemble Of Shadows,Bitter Sweet,neg
Opeth,Dirge for November,neg
"Ackles, David",American Gothic,neg
Hellogoodbye,Two Weeks In Hawaii,pos
Chimaira,Severed (demo) (Album Version),neg
The Format,Dead End,pos
The Album Leaf,On Your Way,pos
Jamiroquai,Space Cowboy,pos
Sandra,Everlasting Love,pos
Kim Stockwood,Jerk,neg
Pulp,The Fear,neg
Willie Nelson,Blue Hotel,neg
"Geils, J. Band",Detroit Breakdown,neg
The Perishers,Best Friends,neg
Bauhaus,Crowds,neg
Nirvana,Heart-Shaped Box,neg
Phil Collins,I Cannot Believe It's True,neg
Depeche Mode,I Want It All,neg
Sugababes,Ugly,pos
Rage Against the Machine,Wind Below,neg
Mac Lethal,Sledgehammer,neg
Current 93,Judas as Black Moth,neg
Ella Fitzgerald,Remember,pos
"Smith, Bessie",Gimme a Pigfoot (And a Bottle of Beer),neg
Cradle of Filth,Lovesick for Mina,neg
Bruce Springsteen,The New Timer,neg
Glass Candy,Candy Castle,pos
Katatonia,Gateways of Bereavement,neg
The Puppini Sisters,Soho Nights,pos
G-Unit,Poppin' Them Thangs,neg
R.E.M.,So. Central Rain (2006 Digital Remaster),neg
Delta Goodrem,Fragile,neg
Nightwish,Slaying The Dreamer,neg
Rise Against,State Of The Union,neg
Marilyn Manson,Irresponsible Hate Anthem,neg
Holly Valance,Kiss Kiss,pos
Jonathan Richman,Velvet Underground,pos
The Game,Da Shit,neg
Glen Campbell,Southern Nights,pos
Isis,In Fiction,neg
Psapp,Velvet Pony,pos
Diana Krall,Deed I Do,pos
Jack Johnson,Same Girl,pos
Kaiser Chiefs,Thank You Very Much,pos
The Cooper Temple Clause,Take Comfort,pos
Passion Pit,Sleepyhead,pos
Heaven 17,Come Live With Me (12'' Extended Version) (2006 Digital Remaster),neg
Chevelle,Comfortable Liar,neg
Yo La Tengo,"Barnaby, Hardly Working",neg
M.I.A.,Paper Planes,pos
The Notorious B.I.G.,Who Shot Ya (Amended Album Version),neg
Alice Cooper,Wake the Dead,neg
AFI,Don't Change,pos
Saul Williams,Om Nia Merican,neg
Combichrist,Without Emotions,neg
Tina Turner,Open Arms,pos
India.Arie,Nature,pos
Lionel Richie,Dancing On The Ceiling,pos
The Go! Team,Grip Like A Vice,pos
Mastodon,Shadows That Move,neg
Stabbing Westward,Slipping Away,neg
Alphawezen,Electricity Drive,pos
Jonathan Coulton,Ikea,pos
Emerson Hart,If You're Gonna Leave,neg
Emilie Simon,Flowers,pos
The Doors,You're Lost Little Girl,neg
Conjure One,Center Of The Sun,pos
Shakira,Lo Imprescindible,neg
DMX [1],Get at Me Dog,neg
Cavalera Conspiracy,Hearts of Darkness,neg
Garbage,Nobody Loves You,neg
Carbon Leaf,One Prairie Outpost,pos
My Dying Bride,The Prize of Beauty,neg
We Shot The Moon,Sway Your Head,pos
Ready For The World,Love You Down,pos
Liars,Drum And The Uncomfortable Can,neg
Underworld,Two Months Off,pos
Colbie Caillat,One Fine Wire,pos
blink-182,All The Small Things,pos
Jill Scott,Slowly Surely,pos
Dark Sanctuary,Des Illusions,neg
Red House Painters,San Geronimo,neg
Bright Eyes,No One Would Riot For Less,neg
Camera Obscura,Let's Get Out Of This Country,pos
Macy Gray,I Try,pos
The Avett Brothers,If It's The Beaches,neg
Scott McKenzie,San Francisco (Be Sure To Wear Flowers In Your Hair),pos
Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),neg
Texas,Inner Smile,pos
Jack Johnson,Hope,pos
Jamie T,Calm Down Dearest,pos
A Fine Frenzy,Electric Twist,pos
Innocence Mission,Lakes of Canada,neg
Lucinda Williams,Changed the Locks,neg
Blue Swede,Hooked On A Feeling,pos
Dawn Landes,You Alone,neg
Anthrax,Indians,neg
Dope,With Or Without You,neg
My Dying Bride,The Blue Lotus,neg
Wintersleep,Weighty Ghost,pos
The Cure,Watching Me Fall,neg
Mariah Carey,Touch My Body,pos
Charlotte Church,Call My Name,pos
Ryan Adams,How Do You Keep Love Alive,neg
The Calling,Our Lives,pos
"Arnold, Eddy",What's He Doing in My World,neg
The Magnetic Fields,Let's Pretend We're Bunny Rabbits,pos
Zyklon,Zycloned,neg
Jurassic 5,Freedom,pos
Beastie Boys,The Sounds Of Science,pos
The Apples In Stereo,Man You Gotta Get Up,pos
Marshall Crenshaw,Cynical Girl,pos
John Mayer,Why Georgia,pos
Nine Inch Nails,The Good Soldier,neg
Daniel Johnston,High Horse,neg
Goldfrapp,Cologne Cerrone Houdini,pos
Marianne Faithfull,In Germany Before the War,neg
Pulp,Someone Like The Moon,neg
Pink Floyd,The Thin Ice,neg
Miss Kittin,Kiss Factory,pos
Bright Eyes,Lime Tree,neg
Tindersticks,Bearsuit,neg
Dead Or Alive,You Spin Me Round (Like A Record),pos
Tenacious D,Tribute,pos
Beirut,La Llorona,neg
Patti Smith,When Doves Cry,neg
Zolof the Rock & Roll Destroyer,Crazy = Cute,pos
Edyta GÃ³rniak,That's the Way I Feel About You,pos
PJ Harvey,When Under Ether,neg
Faith No More,Last Cup of Sorrow,neg
Martha Wainwright,Bloody Mother Fucking Asshole,neg
Ella Fitzgerald,Angel Eyes,pos
Katie Melua,Crawling Up A Hill,pos
Beck,Nausea,pos
Ben Kweller,Hospital Bed,pos
Bauhaus,The Sanity Assassin,neg
Girls Aloud,Love Machine,pos
Twista,The Day After (featuring Syleena Johnson) (Explicit Chopped & Screwed Version),neg
Green Carnation,Two Seconds in Life,neg
Demon Hunter,My Heartstrings Come Undone,neg
Avril Lavigne,Nobody's Home,neg
The Organ,Steven Smith,neg
Eva Cassidy,People Get Ready,pos
The Replacements,Can't Hardly Wait,neg
Panzer AG,It Is All In Your Head,neg
Remy Shand,Rocksteady,pos
4LYN,This Heart,neg
Pig Destroyer,Piss Angel,neg
3 Doors Down,Down Poison,neg
The Cure,All Cats Are Grey,neg
Moby,Mistake,neg
Herman's Hermits,I'm Into Something Good,pos
Burial,U Hurt Me,neg
Katatonia,Saw You Drown,neg
Colbie Caillat,Bubbly,pos
Killswitch Engage,Reckoning,neg
Show of Hands,Roots,neg
Patty Loveless,How Can I Help You Say Goodbye,neg
Arctic Monkeys,Dancing Shoes,pos
Robert Wyatt,Alliance,neg
Just Jack,Glory Days,pos
Brendan Benson,What I'm Looking For,pos
Doors,Break on Through (To the Other Side),neg
OneRepublic,Waking Up,pos
Lucinda Williams,Lonely Girls,neg
Humble Pie,30 Days in the Hole,neg
3 Doors Down,It's Not Me,neg
Courtney Love,Uncool,neg
Billie Holiday,You're Too Lovely to Last,neg
M People,Don't Look Any Further,pos
Sambassadeur,Kate,pos
Tegan and Sara,Walking With A Ghost,pos
Ice Cube,The Wrong Nigga to Fuck Wit,neg
Anastacia,Pretty Little Dum Dum,pos
Stephen Marley,Mind Control,neg
Curtis Mayfield,Superfly (Single Mix Version),neg
Carpenters,Rainy Days and Mondays,neg
The New Pornographers,Star Bodies,pos
John Denver,Perhaps Love,pos
Leonard Cohen,Teachers,neg
Broken Social Scene,Almost Crimes,pos
Aerosmith,Angel,neg
Fun Lovin' Criminals,I'm Not In Love,pos
"Misfits, The",Attitude,neg
Elisa,Heaven Out Of Hell,pos
ZhanÃ©,Hey Mr. D.J.,pos
Sole,Suicide Song,neg
The Cat Empire,The Wine Song,pos
Junior Senior,Shake Your Coconuts,pos
Scissor Sisters,She's My Man,pos
My Dying Bride,A Cruel Taste of Winter,neg
Kaiser Chiefs,Na Na Na Na Naa,pos
Laura Marling,Your Only Doll (Dora),pos
Edyta GÃ³rniak,Soul Boy,pos
Blur,Turn It Up,pos
Fatboy Slim,Weapon of Choice,pos
Robbie Williams,No Regrets,neg
Orphaned Land,The Kiss Of Babylon (the Sins),neg
Chase & Status,Pieces,neg
Anathema,Nocturnal Emission,neg
The Unicorns,Jellybones,pos
Pearl Jam,Immortality,neg
Maxwell,Pretty Wings,pos
Jello Biafra with the Melvins,Those Dumb Punk Kids (Will Buy Anything),neg
Astrud Gilberto,The Puppy Song,pos
Underworld,Beautiful Burnout,neg
Shakira,Did It Again (featuring Kid Cudi),neg
Robin Williams,Prince Ali,pos
Rea_ Chris,E,neg
Grandaddy,Crystal Lake,neg
Weezer,El Scorcho,pos
Corinne Bailey Rae,I'd Like To (Radio Edit),pos
Malvina Reynolds,The World's Gone Beautiful,neg
Maximilian Hecker,Full Of Voices,neg
Keane,Under Pressure,pos
Son of Dork,Ticket Outta Loserville,pos
Filter,Dose,neg
System of a Down,Soldier Side,neg
Bone Thugs-N-Harmony,Murder One,neg
Panzer AG,Sick Is The One Who Adores Me,neg
Scud Mountain Boys,In a Ditch,neg
Robert Miles,Fable,pos
UFO,Chains Chains (Live In Hammersmith),neg
Megadeth,Dread and the Fugitive Mind,neg
Alicia Keys,Diary,pos
Blue Rodeo,Fools Like You,neg
Dave Matthews Band,You Might Die Trying,pos
Sugababes,Hole In The Head,pos
Korn,Hollow Life,neg
The Rapture,Killing,neg
LeftÃ¶ver Crack,Life Is Pain,neg
Sasha,Owner Of My Heart (Album Version),neg
Radiohead,The Gloaming,neg
Bauhaus,Burning From The Inside,neg
Phoenix,Too Young,pos
Marisa Monte,Infinito Particular,pos
Saosin,Bury Your Head,neg
Working for a Nuclear Free City,Quiet Place,pos
Cash Cash,Party In Your Bedroom,pos
Anthony David,Something About You,pos
Riverside,Before,neg
Ani DiFranco,Wishin' and Hopin',pos
stellastarr*,My Coco,pos
Justin Nozuka,Golden Train,pos
Dave Matthews Band,So Right,pos
Tori Amos,Dragon,neg
Annie,Loco,pos
Johnny Cash,The Man Comes Around,neg
Muse,Yes Please,neg
Des'ree,Feel So High,pos
The Beach Boys,Don't Worry Baby,pos
Thelma Houston,Don't Leave Me This Way,pos
Neil Diamond,One More Bite of the Apple,neg
Joan As Police Woman,Flushed Chest,pos
Firewind,Allegiance,neg
Diary of Dreams,Portrait Of A Cynic,neg
Dar Williams,"The Pointless, Yet Poignant, Crisis Of A Co-Ed",pos
Katatonia,Rainroom,neg
OutKast,Happy Valentine's Day,pos
Muse,Can't Take My Eyes Off You,pos
Mr. Mister,Broken Wings,pos
My Dying Bride,Black Voyage,neg
Sharon Van Etten,Don't Do It,neg
Patty Griffin,Nobody's Crying,neg
Jeff Buckley,Forget Her,neg
Bob Dylan,You're A Big Girl Now,neg
No Doubt,Start The Fire,pos
The Ting Tings,Shut Up And Let Me Go,pos
Roger Sanchez,Another Chance,pos
Elliott Smith,Everything Reminds Me Of Her,neg
Pepper,Stormtrooper (Live),neg
De-Phazz,Trash Box,pos
Nick Cave and the Bad Seeds,Jangling Jack,neg
Cartel,Lose It,pos
Chris Garneau,Things She Said,neg
Rilo Kiley,The Good That Won't Come Out,neg
