Artist,Song,Mood,song_id
Thrice,A Song For Milly Michaelson,neg,5IVpwzxMsad8rMVnkiEoku
MxPx,Drum Machine Joy,neg,2Es5jyiB3GK0wQyd49wdkC
MGMT,Time To Pretend,pos,4iG2gAwKXsOcijVaVXzRPW
OutKast,Pink & Blue,pos,6Mu0ZYQCcRFR7BLs9iG16v
We Are Scientists,What's The Word,neg,6CmVcndlvyx31lGp0pTf8n
Andrew Gold,Thank You for Being a Friend,pos,5yNUgA66PbcPIJPOU2eBwR
Feist,I Feel It All,pos,5U97bUL9K2NfpUk2vrkJyd
El Presidente,Turn This Thing Around,pos,
Big Brovaz,Baby Boy,pos,4cVg29xuGui33h60Rumsqk
The Organ,There Is Nothing I Can Do,neg,19g7rdVgVgC5q3x5XYj6Wk
Casiotone For The Painfully Alone,White Jetta,neg,2qxCjgaMDkVmMF2OQuRE0S
Francis Dunnery,Good Life,neg,6vZAz6PPpQjdksA4Jv6h6C
Apocalyptica,Bittersweet,neg,0V4HyZfMPPWovq0cyccai1
Brownsville Station,Smokin' in the Boy's Room,neg,1AIGp3gpj1NXJvh3engmUQ
Barbra Streisand,I Never Meant to Hurt You,neg,2STxcfMh48pZuN4beBIec7
Bob Carlisle,Man Of No Reputation,neg,1DGDXwo4AyejZedacPi3nm
of Montreal,The Party's Crashing Us,pos,5R3F8oZ1m36IcNm6ioYZz3
Elliott Smith,Waltz #1,neg,4SD4ri0Msp6DxgoXKcf6ug
Megadeth,Crush 'Em,neg,6q1aLwkZm2f36t1yr9JMVn
Pink Martini,Hey Eugene,pos,4XHJ8unGcOhqSPKKRDPKlp
Gabriella Cilmi,Sit In The Blues,pos,09wkzU6H8RyL6yFRHUbFK8
Underworld,Best Mamgu Ever,pos,0mfvprOhN50DUawR9ZCh1i
Sade,Cherish The Day,pos,3q5YxzWc8Sx10l4nbUomIZ
Anathema,A Dying Wish,neg,2MwpQyiQAnR7b2PZtKs4ij
Muse,Stockholm Syndrome,neg,5VVWgWH8HFLAtM8lbttvn9
LL Cool J,Mama Said Knock You Out,neg,6C7ZgThn6Yan5MTZdAEEFw
Depeche Mode,Halo,neg,6Rr6wXmEx6w6dsBuqqKJa3
Sheb Wooley,Purple People Eater,pos,0WkZQPNC0c7yrsMX1arVAd
Steppenwolf,Born To Be Wild,pos,63OFKbMaZSDZ4wtesuuq6f
The Knife,Still Light,neg,2EOLgGZ5IKLMGryA7pbzfi
Marvin Gaye,Let's Get It On,pos,39l1UORIhuHvUWfxG53tRZ
Black Rebel Motorcycle Club,Suddenly,neg,2iuSvgDFWJqRIh8WnjrGgE
Nine Inch Nails,Metal,neg,5rrGRrNaqsPxMy5xZ8KOue
Pinback,Some Voices,pos,7lBBdj3ZsbAEtznwQud8BU
Snow Patrol,Crack The Shutters,pos,0ucyXpQG7xL8ipoyU0Ts3A
Rufus Wainwright,Dinner At Eight,neg,55Me0GWaEXx6k5h0PdbbOA
Good Charlotte,Emotionless,neg,0eYcZLnlLKaItC1WC4B1pc
Passion Pit,The Reeling,pos,5noQJkpVfHt2D4df2GXieV
Man Man,Feathers,neg,3OLIJKVw7I7TzCHPZFcnZL
Cat Power,The Coat Is Always On,neg,351FWG8tFK5ftLTjWHBzZ3
Me'Shell NdegÃ©Ocello,Elliptical,pos,
Marilyn Manson,Angel With The Scabbed Wings,neg,0FQjfJB4cdkVfxZHz8RV4M
Groove Armada,But I Feel Good,pos,5at039gZfHTvOK3gSLni5m
The Killers,Joy Ride,pos,5vTcmSXFfBUcFUV0FUg9RD
Boz Scaggs,We're All Alone,pos,26ItBw3OZ9s9d51rNWCYhh
Rival Schools,Undercovers On,neg,4NUJj1zdQrNvdHjuAxH1iv
The Airborne Toxic Event,Something New,neg,3lGw7qPio3J6htK1kMKNLC
Ministry,Just One Fix (Album Version),neg,
Bloodhound Gang,Foxtrot Uniform Charlie Kilo,pos,6uGQKWdjmKvgH1QdDCcM8N
Norah Jones,Chasing Pirates,pos,7GsLrzsAash4bp75SltRaN
Atlantic Starr,Always,pos,2TQaMcc3BEAF5Srn7FCipl
"Warwick, Dionne",Walk on By,neg,3xsOtNxtBW0oTI1OWKAzTm
Slayer,Sex. Murder. Art.,neg,1SRGbSzZoiBZVwMNJ1Sps4
Colbie Caillat,Midnight Bottle,pos,2a2VEHsDL9QQroBeO2KGC0
"Thomas, Rufus",Walking the Dog,neg,602rnDrA59nfIEcX5Qrlcx
Cake,Italian Leather Sofa,pos,12KwQ5UHj6F8HzmAxlXPww
Jim Bryson,Somewhere Else,neg,325G4xW58WM29eXKzMnQJo
Celtic Frost,A Dying God Coming Into Human Flesh,neg,4BspUUse4sw1i8YYKA8oSD
Foy Vance,Homebird,pos,1KKvumpYrpAW2ugEeKW3LQ
Britney Spears,Anticipating,pos,6dKYAtGciLRm8uOD1LiSVf
Des'ree,You Gotta Be,pos,6CU0zWIWVTEnmWpSjVHM93
Nick Cave and the Bad Seeds,Oh My Lord,neg,2rGUeavBOvYxpm9mbYLSm3
Jack's Mannequin,Holiday From Real,pos,2WYVm7mLtNJkMC4Ns9cHM5
Alicia Keys,Rock Wit U,pos,0uwbsSXsexqcHxsuohgrzk
Robbie Williams,Things,pos,0gUzLX20GERPkoGHUJgxHk
The All-American Rejects,Don't Leave Me,pos,3gpvC9cDSd7hULJtVwAovJ
Jack Johnson,Losing Keys,pos,15TRZ6Lpfts7Oowxh7Ic8a
Tenacious D,Classico,pos,1KRdD8IpxMXGB2883OVP2Q
Maxwell,Ascension (Don't Ever Wonder),pos,6l4TNbfPtNAOOlGIfceSaO
Lindsay Lohan,Speak,pos,39eoKAAr3nBXHxhBa3X8Z5
BeyoncÃ©,Listen,neg,4z7Ja0RNran3XpIvc1PIQz
Bee Gees,How Can You Mend a Broken Heart?,neg,1jy0RbDHyBMTupSdc98XbG
Bent,Beautiful Otherness,pos,3Clu5aqHC7j6SIA9ZadxIi
Kate Nash,Pumpkin Soup,pos,0zscy4RolfjsihJlXuQLzG
Lily Allen,Not Fair,pos,76VWuBu8qoFxzfhpfW0lE6
Crystal Castles,Crimewave (Crystal Castles vs HEALTH),pos,47rm2UGD8AswD9BldOi6DU
Tom McRae,My Vampire Heart,neg,0EOMn5osZ22KVbN1BooC8j
The Ink Spots,Maybe,pos,6jSOQzZ92aPKN0p2m09y2n
Balligomingo,Wild Butterfly,pos,6GX7kMYRV1eka4aaKuxSj1
Neurosis,The Tide,neg,0KiSRl2usPXSGaBaRhKnmS
Avril Lavigne,Slipped Away,neg,5AZhrTm9YUCOiA3Vl2hQji
Bent,I Love My Man,pos,2AjzK5A4Cce7bB9pk2ivjz
David Sylvian,Maria,neg,3SVZ4PjQKLFAgIvAQnULRS
Me'Shell NdegÃ©Ocello,Lovely Lovely,pos,
Janet Jackson,Someone To Call My Lover,pos,43zr9kKkeiQrshvYuvNtfM
Bay City Rollers,Saturday Night,pos,78zYiMv9yNTHgmm6kaUPCm
Jimi Hendrix Experience,Fire,neg,5LI7PoHEolR8plrf3I16sq
Moments In Grace,Broken Promises (album version),neg,
Agnostic Front,Undertow,neg,36fvhNxDsz8xbAObvqgYMX
Wesley Willis,I Wupped Batman's Ass,pos,1UwqBuo4gLWhXOjLu4hukb
Abba,Mamma Mia,pos,2TxCwUlqaOH3TIyJqGgR91
Chris Brown,Yo (Excuse Me Miss),pos,7DFnq8FYhHMCylykf6ZCxA
The Cooper Temple Clause,The Devil Walks In The Sand,neg,2ayVsnjUrl8zEsGZPMhSBe
Patrick Wolf,The Childcatcher,neg,0heYKfxOFRpHHwTZvpsCOF
Eliane Elias,The More I See You,neg,1Fg2CbRUrIMx2G1XIB8NqX
Panzer AG,When Death Embrace Me,neg,3XeKu0R31DJorViqzPJOT3
David Bowie,Afraid,neg,1pcasDIW4optEjia7RphhS
Corinne Bailey Rae,Enchantment,pos,63OQmPUVd8IjAxS6DOilHk
Oasis,The Girl In The Dirty Shirt,pos,3LdcxeggfFU808QQBuAAXH
Pursuit Of Happiness,Forbidden Fruit,neg,1xhDRPwS0L3oekR4GQuVAC
Hootie & The Blowfish,Only Wanna Be With You,pos,1OFKUn2VLafrHj7ybnap0Q
Neneh Cherry,Manchild,pos,5tmkX2fJ7KUAnMz3W1ibEr
The Old Dead Tree,We Cry As One,neg,6OCCN1McqwAGEOEInEymu5
The Gathering,A Life All Mine,neg,242paIDWYsrxOy61yF6IG5
Dishwalla,Moisture,neg,1gjTyt7SHJ80HaxcWy6xFT
PJ Harvey,Dry,neg,2fhwvSptDeBj8Yw9FufioZ
My Dying Bride,Love's Intolerable Pain,neg,22Cxhodw93bI2Bcmemcw42
Sugar Minott,Good Thing Going,pos,4VAgc32HtWx5Rm7x6FXVzL
My Dying Bride,To Remain Tombless,neg,7eBsczBqC8j3aS2KfcSQCV
Norah Jones,The Long Day Is Over,pos,6o5LJxDnSgLsXK4pcIOsQg
Steve Goodman,Lincoln Park Pirates,pos,6YjRdbpIIL8BWyOpE71NeI
"Jett, Joan & The Blackhearts",Bad Reputation,neg,7pu8AhGUxHZSCWTkQ2eb5M
Tom Tom Club,Wordy Rappinghood,pos,3nKPh2KXbm4Jm0S4Y3GmZx
Aqua,Lollipop (Candyman),pos,7hIKkllltXJFgGfUZbVazE
Edison Lighthouse,Love Grows (Where My Rosemary Goes),pos,5Ts1DYOuouQLgzTaisxWYh
The Byrds,Deportee,neg,4dValX3XnL92AWVscwrN2P
Sophie Zelmani,Oh Dear,pos,0DBAvujXgcYGtZxsENU05s
Mary Coughlan,Whiskey Didn't Kill the Pain,neg,7K6xwBO3zdvnXkBadHs8zN
JosÃ© Padilla,Adios Ayer,pos,3inZkpVlyHfLoxwuyu2GYW
blink-182,What's My Age Again?,pos,4LJhJ6DQS7NwE7UKtvcM52
London After Midnight,Your Best Nightmare,neg,2w5V8oDKjxyiNFbxZvmMci
Ben Harper,Diamonds On The Inside,pos,6FvtSHS3hzjS8itHJPRzoJ
Dilated Peoples,Big Business,neg,6TIsvuHfZmapjP2R5f0k5s
Carl Douglas,Kung Fu Fighting,pos,40NRm1ZLvZpUSCUXAGGZ8J
Tesla Boy,Runaway Man,pos,3frNLuKDpuMgWlR6KXCElb
Sade,Morning Bird,neg,2MYrRBXN6kfZLQaTzlFrXD
The Boy Least Likely To,Rock Upon A Porch With You,pos,6v5Z406dy9Tb2vpKckAwfK
Kelly Sweet,Raincoat,pos,5aRNDNKCU7vPlyPPzhOPN1
Grandaddy,The Warming Sun,neg,66kJUlDavWkXe2Rph2fCI2
Katatonia,Velvet Thorns (Of Drynwhyl),neg,1vRDwsEK7VVbQMUDuHDcas
Fake Problems,Tabernacle Song,neg,7oyN8MerOLN6C2oXL7wiW5
PJ Harvey,Driving,neg,7g7f7uGSAo6okdrQcJYER0
Anathema,Destiny,neg,4FTqzziruoshTqQy8F3ba8
The Innocence Mission,Small Planes,neg,5dci9BCmhYQdh61LAtemUi
Tokyo Police Club,Cheer It On,pos,4uuoBo4bKblWRjdttN6z6x
"""Weird Al"" Yankovic",(This Song's Just) Six Words Long,pos,2CstSu0GDI4dUFtE3VdubW
LORE,Release,neg,1ZQFFwzJgorLxgSVXap5MZ
Katie Melua,Mockingbird Song,pos,5sIN48Kupi8djcVeYW67n7
Shuggie Otis,Aht Uh Mi Hed,pos,6eOiJuoyzAQeY0JHf5ZBWX
Mariee Sioux,Buried in Teeth,pos,7Mzv8nUqXU4nQ8FBWEt6sp
Merle Haggard,High on a Hilltop,neg,0NaXkFyBpjurizxsfrr6AN
Florence + The Machine,Blinding,neg,4N5OZKcYwaPOCug2kyTYCV
Common,Faithful,pos,13YyYNBofurxZCNYiFDibB
James Taylor,Copperline,pos,0i1XtQ6hOET96dz5oG45zl
Chris Cornell,Sweet Euphoria,pos,2GwPCyosaFaULv0luGqBGT
Fates Warning,Heal Me,neg,0IrNa2XY7JQrIotyplRoIw
U2,Sweetest Thing,pos,7ndGFo9nZ108KPgXtfYWCe
Genesis,Mama,neg,4q6bSpQPptaC9uIqmu5GEw
McFly,No Worries,pos,55EV95DP5HhHnBjo6UJraV
Little Man Tate,Sexy In Latin,pos,5qGP4Ba96Qw2fZemoAtjKV
Nine Inch Nails,Only,neg,72X2RPQiMoOjQrdI2B9Olu
Dark Fortress,Ghastly Indoctrination,neg,7fKeQYclyDfOl61GiBYRDt
ChloÃ« Agnew,Walking In The Air,pos,0NdfFm359NUsFCktC8MjyJ
The Police,Wrapped Around Your Finger,neg,400ZJAUFuEuIGXhr7ie4xf
Rosanne Cash,It Hasn't Happened Yet,neg,6kG7ev4WIZ7k5YHtgqiOoO
Bob Marley,Trench Town Rock,pos,07RkBIaksHTQgkmm6R4V0y
Bloc Party,Banquet,pos,4juzduULFJiZVIcrC1tkxE
Tiger Lou,Like my very own blood,neg,3LgNfgXrsIr5ewmrlelU1T
Mickey & Sylvia,Love Is Strange,pos,66Yxbr2UODJjVBKdZtbnOL
The Kinks,You Really Got Me,pos,29SyMC0plk6qw8NMF7lfRL
Roxette,Milk And Toast And Honey,pos,26WofNkvCADcYTfqA0yLnN
HIM,The Path,neg,4FKLDRDR3XPlbMsyso2muh
John Mayer,City Love,pos,5O3fUsQQBFxW8SH1kHthDH
"Fender, Freddy",Before the Next Teardrop Falls,neg,3awuorsQsio2PUOvzq3hpd
Robert Johnson,Terraplane Blues,neg,1WteIZCYVo7qerccUz3cfw
The Smiths,What Difference Does It Make?,neg,65E3ajL0Yz7kljk89Qdm6Q
Patty Griffin,Every Little Bit,neg,
"Collins, Edwyn",Girl Like You,neg,6XOINCZBv8Q7RXgNNiTwIN
"Albert Hammond, Jr.",In Transit,pos,1Jte640nBiOWyuD7N0odNZ
The Maccabees,Toothpaste Kisses,pos,4BAWCedKFfdwxPFmFv4DMG
Tom Waits,More Than Rain,neg,6uw7IMROUAN1fTFGL0fFd1
Architecture in Helsinki,"Frenchy, I'm Faking",pos,050o7o0UOk31WYVIgL3QbZ
Jamiroquai,Half The Man,pos,52MqoTJ6kT0h8JTe5rjpG5
Phoenix,Rally,pos,2n21r18BendiM8hynbe7XJ
My Dying Bride,Catherine Blake,neg,4pW8JZSz6klHCA1If2uqXF
Local Natives,Who Knows Who Cares,neg,64d4jIzhoWq5wRuXs4lDl2
Ryan Adams,Love Is Hell,neg,7vCtrwEkN6VV825JyWfUjO
Staind,Mudshovel,neg,6264zKFgXM13JuRBX4MMyD
"Kristofferson, Kris",For the Good Times,neg,1oVhPyz7niujkurOWHgMu3
Patti Smith Group,Wave,neg,0pSF7WgfHsAVeXW6fP4J9r
Ice-T,O.G. Original Gangster,neg,0G3ImRQDWtOTwTK1oL5uWF
Virgin Prunes,Baby Turns Blue,neg,
JC Chasez,Blowin' Me Up (With Her Love),pos,5nOMJVZ4rsY5PpYiKD15BS
Gary Numan,Rip,neg,1gEMpMOewe2rrp72Bd0wFP
Groove Armada,At The River,pos,0KIPa0YuQ5QFmlAqRyXNd9
Pink Turns Blue,Your Master Is Calling,neg,0TXfAQ5ohVQPzt4Mrr5azG
Stephanie Mills,Never Knew Love Like This Before,pos,258PcdtzvhekfSU3WJwn6z
of Montreal,Your Magic Is Working,pos,0Khglq7RzCkdC1X30NWqMm
Steve Earle,Ashes to Ashes,neg,6TG1N7yxL4ejQhfafgozVc
Three Days Grace,I Hate Everything About You,neg,0M955bMOoilikPXwKLYpoi
Guns N' Roses,Paradise City,pos,3YBZIN3rekqsKxbJc9FZko
Quiet Riot,Metal Health,pos,28clONjZmul6FjfO6tZQDE
Muse,Butterflies And Hurricanes,neg,0xJLcjd0gaZct43xG1UlXS
PJ Harvey,Joy,neg,0yKLTbW4G4oF5y3Cd3x9bu
Karl Bartos,Electronic Apeman,pos,3Fjsz3L8KnAX1q0GpCkn77
Nine Inch Nails,All The Love In The World,neg,25VUzj25PSw7rHidHGd12o
Metallica,Phantom Lord,neg,5R5b3EZkGsYsZz2XdUNrXI
"Brown, Roy [1]",Good Rockin' Tonight,neg,5e9vUIvyS0aHJmqSCSLtzN
The Velvet Underground,Heroin,neg,5by3w3NXvwDpV9FBSOR35u
Jam [1],Eton Rifles,neg,7swv7sygjXcPFfeSCgwizC
Slayer,Fight Till Death,neg,5xFqDS7kANSCyzne6yqjIV
Arcade Fire,Crown of Love,neg,3kusLGvgYkZldKfoDoJklR
Billy Joel,MODERN WOMAN,pos,1r7eJB9ITPJyII7JJgHIZj
Wu-Tang Clan,Impossible,neg,2vQa5ELj0hYwrYZp8MVZn7
The Chemical Brothers,The Salmon Dance,pos,3vRYtf5xgPrYeVzAmqvzTd
Ben Folds Five,Brick,neg,4jKq1e80xAYixkIwt6YyV1
Pink Floyd,Take Up Thy Stethoscope and Walk,neg,6q3URBXG6Tr9pMU0bOlvrc
"Fagen, Donald",I.G.Y.,neg,6bzwsAtj4TqaBysLDrGiO3
"Lee, Peggy [1]",Black Coffee,neg,3mJrhWj6JcdPZC2hZ3o1Rx
The 69 Eyes,STILL WATERS RUN DEEP,neg,03CGJI1UoRf9ltSyjbAAyv
Fionn Regan,Put A Penny In The Slot,pos,4NmeHwF3GA021tPtA284Hd
Unbelievable Truth,Dune Sea,neg,03oFUnZ1LYbAyeeOYj4SaG
Frankie Valli & The Four Seasons,"December, 1963 (Oh, What a Night)",pos,1hQFF33xi8ruavZNyovtUN
Siouxsie And The Banshees,Red Light,neg,2WgUntfJ6wcxzUTHcqOQ5M
Current 93,Alone,neg,1FxwojrmP2YzDrYvz93kRM
"Earth, Wind & Fire",Sing A Song,pos,5W5FVsgGCe3T9nIMkiXqNo
Woody Guthrie,Car Song,pos,3ZvYhbTmbpyyYAXtJKYu4I
Miike Snow,Animal,pos,4XTTwW06rMgud7yS1nySZf
Nine Inch Nails,March Of The Pigs,neg,56NATwQKP7m64hFLFlKzXe
Helmet,Your Head,neg,7cF2IWNliAdpy26eYNclbe
Nat King Cole,Let There Be Love,pos,7AL1pxI9IwHoXs98G0T8cC
Sade,In Another Time,pos,1DKYtHoBNbqjMLqvpw7o73
Camera Obscura,Lunar Sea,pos,6nGQQsrsi1R7rbHWhqdZcf
Billie Jo Spears,Misty Blue,neg,5rk0C63hfDYR72tOpMOJob
Nicky Wire,Goodbye Suicide,neg,3Dil9Pm1BDuNPrxkz9lc6S
Killswitch Engage,Unbroken,neg,5PU6F7feSaAPhvSv4GbQLP
Billy Preston,Nothing From Nothing,pos,72PoJMDfdaw9gGECgA9kTZ
Tommy Roe,Dizzy,pos,5LvIl1VHaqtCJJXwrB8QR9
Otis Redding,Try A Little Tenderness,pos,36AlMHDBFwSsD3FQOy1R81
XTC,Dear God,neg,6nFdjV1Ko66O111x74K2kn
The Puppini Sisters,Jilted,pos,1RLUf8dfdcbpEoARpHyt1Q
We Are The Fallen,"Sleep Well, My Angel",neg,5iyqZ7AbTYyIs3p3uknZK6
Cream,Wrapping Paper,pos,2BHytg2H34vFGwHiYrM9b1
Oceansize,New Pin (edit),neg,2Z48dePKoguMsr8tCMhVog
The Cat Empire,The Rhythm,pos,1DkjN9Y2B0hcGkPqaTPu0B
Floetry,Closer,pos,4sUDzWxexOXI3ul441qbXA
Sade,The Sweetest Gift,pos,2t17Hx0oopVsunzztM8IqT
MÃ¡ire Brennan,Dream On,pos,
Foo Fighters,Learn to Fly,pos,5OQsiBsky2k2kDKy2bX2eT
Norah Jones,One Flight Down,pos,0e502JxKbRwKNDWmoODAUr
Lily Allen,Not Big,pos,3mRReH89zWyS20GzIKtw4z
The Rocket Summer,Hold It Up,pos,1qbGBnPiGKOIQeMwHYLm9u
Counting Crows,Big Yellow Taxi,pos,5fztgDIt1Nq32VHJrAHq0Y
The Young Fresh Fellows,Beer Money,pos,3BveVHGrWLXPQxdPKWRnyn
Pretty Maids,Please Don't Leave Me,neg,77ZIkT6DwOXP3RCU2nqNJq
The Jackson 5,ABC,pos,6D8kc7RO0rqBLSo2YPflJ5
Kelly Clarkson,Already Gone,neg,4fq2YUONcgrCJ2SPndSeKC
Mastodon,Deep Sea Creature,neg,3kpdcl625qW3JW3bT9LpIy
Moloko,The Time Is Now (DJ Plankton Mix),pos,3Y4b5P76Lnsx8ojyoX87l5
Jonas Brothers,S.O.S.,pos,6sDP4912wjwB7BJhbSnjS1
Morcheeba,Rome Wasn't Built in a Day,pos,6lsumzVFKP9SnfKcuGwqVp
Remy Shand,The Way I Feel,pos,1HwgiZluTgktb8SOFqcKkh
Queensryche,The Needle Lies,neg,6D56362n3CmvFqPPqrujqc
Wolfsheim,The Sparrows and the Nightingales,neg,3mIkPJ47lUFnc9KRO635KE
Bloodhound Gang,The Bad Touch,pos,5EYdTPdJD74r9EVZBztqGG
Boz Scaggs,Look What You've Done To Me,pos,3GclLNmJ8fcGUWUcRien3a
Faithless,"Miss U Less, See U More",pos,2ojL9cOWfePbVRM4YZYD4B
Alanis Morissette,Citizen of the Planet,neg,4uKttTg4YFPy68TiKXXysE
Lauryn Hill,Nothing Even Matters,pos,1Q0lOGB52skgfzdcq233vs
The Foreshadowing,Cold Waste,neg,49KlireKdiUAjwXb1t1ASY
Animal Collective,Turn Into Something,pos,3CDsFPcfQXLOWjoWtjLF9c
Great Lake Swimmers,Bodies and Minds,pos,0Z9F8kyZtDuVHldB8eVtNs
Budgie [Metal],Breadfan,neg,2oXzhMnWAeSHbkCQVgvkqg
George Michael,Father Figure,pos,0L0T4tMAaGqLgIVj1MOj9t
Jane Monheit,Honeysuckle Rose,pos,4LIw2QRvZWvtV48O92yfKu
Cherish the Ladies,The Green Fields of Canada,pos,239ubBTjIPmOEmnz1m2F8K
Whitney Houston,How Will I Know,pos,5tdKaKLnC4SgtDZ6RlWeal
New York Dolls,Trash (live Paris),neg,3kkrIlh8JEiS8vjYPcBdDN
Moody Blues,Nights in White Satin,neg,6L5BZEcZmD6RBJnimzlyKr
Enigma,Silence Must Be Heard,pos,06YQULjJuHlACCU2LYL055
Scissor Sisters,Take Your Mama,pos,75lZOZjQaA66br3Vu1iYCw
Deine Lakaien,Over And Done,neg,0IqgHtZfSO3ub09N0tXJAy
Kylie Minogue,Love At First Sight,pos,0NMUFQdEFjftg0BQnyZCsh
Jeff Buckley,Mojo Pin,neg,3wBy12K7BHKHJspUwJw8fq
